,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,4.872319513720858e-06,0.0,0.0043541364296081275,0.0,0.003933102454158691,0.0,2021-02-28
1,0.00019083251428740028,0.0001094870531559643,0.1649733913884857,3.068565420559444e-06,0.08463849997346744,0.329531914893617,2021-02-28
2,4.1414715866627295e-05,9.123921096330358e-06,0.031688437348814706,5.858170348340758e-06,0.03471358480342231,0.1265359477124183,2021-02-28
3,0.00012018388133844783,1.8247842192660717e-05,0.09990324141267537,8.089854290565807e-06,0.04823647820354427,0.08720720720720722,2021-02-28
4,0.0010930236775780458,0.0007846572142844109,0.950169327527818,6.695051826675151e-06,0.18321347406368832,0.41232293214462606,2021-02-28
5,0.9902588798699848,0.9883305049177934,0.0,0.9903178392166567,0.5154903281745539,0.5732453520054931,2021-02-28
6,1.4616958541162575e-05,0.0,0.01112723754233188,2.2316839422250504e-06,0.11799111719413183,0.0,2021-02-28
7,0.001147431245481262,0.0008485246619587233,0.9975810353168844,6.137130841118888e-06,0.9976332449440974,0.4247416843595188,2021-02-28
8,0.0001310112580356053,0.00022809802740825897,0.09941944847605225,1.3390103653350303e-05,0.03975264143414481,1.0,2021-02-28
9,5.413688348578731e-06,9.123921096330358e-06,0.003144654088050314,1.6737629566687878e-06,0.026267494925978373,0.968,2021-02-28
10,0.03045010216983336,0.018749657852958887,0.0,0.030807838901431264,0.4710880130237936,0.3536646724685091,2021-02-28
11,1.0827376697157462e-06,0.0,0.0009675858732462506,0.0,0.0,0.0,2021-02-28
12,0.05470098981170921,0.06506268133793179,0.0,0.05438418494857503,0.2893128531990347,0.6831622493616516,2021-02-28
13,0.0005722268584447719,0.00012773489534862503,0.4530720851475568,6.332403186063581e-05,0.4297365615496774,0.12821192052980132,2021-02-28
14,0.0,0.0,0.0,0.0,,,2021-02-28
15,0.055118114498967204,0.048721738654404115,0.0,0.055313681310511766,0.5116894375134342,0.5077097605893186,2021-02-28
16,4.872319513720858e-06,0.0,0.0043541364296081275,0.0,0.003933102454158691,0.0,2021-03-01
17,0.00019137388312225815,0.0001094870531559643,0.1649733913884857,3.626486406115707e-06,0.08489459280531564,0.3285997171145686,2021-03-01
18,4.1414715866627295e-05,9.123921096330358e-06,0.031688437348814706,5.858170348340758e-06,0.03471358480342231,0.1265359477124183,2021-03-01
19,0.00012099593459073464,1.8247842192660717e-05,0.10038703434929849,8.368814783343939e-06,0.048600469429602174,0.08662192393736018,2021-03-01
20,0.0010930236775780458,0.0007846572142844109,0.950169327527818,6.695051826675151e-06,0.18321347406368832,0.41232293214462606,2021-03-01
21,0.9915413826397632,0.9892337731063301,0.0,0.9916119369426545,0.5161652463138318,0.5730271219107366,2021-03-01
22,1.4616958541162575e-05,0.0,0.01112723754233188,2.2316839422250504e-06,0.11799111719413183,0.0,2021-03-01
23,0.001147431245481262,0.0008485246619587233,0.9978229317851959,5.858170348340758e-06,0.9976332449440974,0.4247416843595188,2021-03-01
24,0.00013155262687046318,0.00022809802740825897,0.09941944847605225,1.3948024638906566e-05,0.03994019046177773,0.9958847736625515,2021-03-01
25,5.413688348578731e-06,9.123921096330358e-06,0.003144654088050314,1.6737629566687878e-06,0.026267494925978373,0.968,2021-03-01
26,0.030487456619438552,0.01876790569515155,0.0,0.03084577752844909,0.47167282868882354,0.35357512585345063,2021-03-01
27,1.0827376697157462e-06,0.0,0.0009675858732462506,0.0,0.0,0.0,2021-03-01
28,0.05480547399683679,0.06506268133793179,0.0,0.05449186369878739,0.28987623066340845,0.6818598310860867,2021-03-01
29,0.0005722268584447719,0.00012773489534862503,0.4530720851475568,6.332403186063581e-05,0.4297365615496774,0.12821192052980132,2021-03-01
30,0.0,0.0,0.0,0.0,,,2021-03-01
31,0.05517035659153099,0.04874911041769311,0.0,0.05536668380413961,0.512179767613019,0.5075139585316312,2021-03-01
32,4.872319513720858e-06,0.0,0.0043541364296081275,0.0,0.003933102454158691,0.0,2021-03-02
33,0.00019299798962683177,0.0001094870531559643,0.1649733913884857,5.300249362784495e-06,0.08566287130086025,0.3258345021037867,2021-03-02
34,4.1414715866627295e-05,9.123921096330358e-06,0.031688437348814706,5.858170348340758e-06,0.03471358480342231,0.1265359477124183,2021-03-02
35,0.00012099593459073464,1.8247842192660717e-05,0.10038703434929849,8.368814783343939e-06,0.048600469429602174,0.08662192393736018,2021-03-02
36,0.0010932943619954747,0.0007846572142844109,0.9528301886792453,3.905446898893838e-06,0.18326024169551516,0.4122208467442436,2021-03-02
37,0.9930382674681452,0.9920348168829035,0.0,0.9930689475964346,0.5169529831880841,0.5737834499075947,2021-03-02
38,1.4616958541162575e-05,0.0,0.01112723754233188,2.2316839422250504e-06,0.11799111719413183,0.0,2021-03-02
39,0.0011485139831509778,0.0008485246619587233,0.998306724721819,6.41609133389702e-06,0.9985799469664582,0.4243412679707753,2021-03-02
40,0.00013371810220989466,0.00022809802740825897,0.09941944847605225,1.6179708581131614e-05,0.040690386572309445,0.9797570850202428,2021-03-02
41,5.413688348578731e-06,9.123921096330358e-06,0.003144654088050314,1.6737629566687878e-06,0.026267494925978373,0.968,2021-03-02
42,0.030527788597635466,0.018786153537344207,0.0,0.030886784720887475,0.4723042600952687,0.35345132115623334,2021-03-02
43,1.0827376697157462e-06,0.0,0.0009675858732462506,0.0,0.0,0.0,2021-03-02
44,0.05495218495108327,0.06536377073411069,0.0,0.05463385458961146,0.29066729435690725,0.6831864126258547,2021-03-02
